name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Colombia,62.56,50.11000000000001,45.17,50.64,41.69000000000001,43.42999999999999,43.57,49.48,49.23,55.95,49.64,53.17,52.76999999999999,81.67999999999998,84.10000000000002,89.77999999999999,88.26999999999998,81.38,79.85000000000002,84.25,74.84,78.41,74.25000000000003,74.22000000000001,73.83000000000001,67.24000000000001,62.88,66.45,63.53,66.62,70.39999999999998,
Costa Rica,69.46,89.84,85.56000000000002,88.98000000000002,84.76999999999998,93.27000000000002,61.72,72.54,98.83,80.78999999999998,79.17999999999998,94.86,80.63,92.09,85.06,88.28999999999998,76.03,95.62000000000002,115.88,100.72,78.73,100.83,75.35000000000002,72.26999999999998,77.37,84.35000000000002,89.83000000000001,80.75999999999998,89.25999999999998,70.85,,
Croatia,,,,,,,,,,,305.54,334.79,313.7,344.30000000000007,327.2800000000001,322.75,287.54,304.12,281.68999999999994,302.24,269.56999999999994,248.21999999999997,243.45,265.68999999999994,254.29,241.97,221.11,239.01,210.29999999999995,222.04,229.68,213.56
Cuba,,,,,,,,369.71,392.93,363.31,352.7600000000001,316.23000000000013,317.4,326.98,306.12000000000006,272.77000000000004,244.51,240.42000000000004,221.12,216.12,205.94,202.54999999999995,188.18000000000004,190.98999999999995,201.33,202.13,207.05,204.0,190.46,184.63,194.31,
Cyprus,,,,,,,,,,,,,,,1.57,8.36,,,,9.169999999999998,24.739999999999995,27.64,36.17,59.07000000000001,55.53,58.88,43.78,42.89999999999999,64.61000000000001,57.1,49.59,47.14999999999999
Czechia,,,,,,314.22,292.01,303.21,297.64,293.2800000000001,264.4,243.48,234.13,226.7,236.93,226.64,220.92,212.15,234.88000000000005,203.02,193.4,178.4,170.78,175.00999999999996,179.70999999999995,175.62,186.24,196.23,186.07,175.28999999999994,170.86999999999995,161.76
Denmark,,,,,,,,,,253.22000000000003,239.13000000000005,229.56,218.46,188.68,183.09000000000003,181.07,186.17,176.51000000000005,156.7,161.78,164.23,162.08,139.95999999999998,143.04999999999995,144.7,130.02,126.33,143.20999999999995,134.54999999999998,137.73,121.42,
Dominica,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,82.51999999999998,76.54,62.53,75.28999999999998,70.38,60.48,66.96,75.80000000000003,70.91000000000003,67.67,68.22,76.34000000000002,67.02,62.07,71.92999999999998,57.17000000000001,67.24,61.42,70.56,84.38999999999999,96.73000000000002,93.07,95.97,95.29,94.25,81.48999999999998,81.8,84.87999999999998,62.88000000000001,66.02000000000001,97.39,
El Salvador,,,,,,184.46,171.29999999999995,120.62,123.69,,159.19000000000003,145.16000000000003,140.00000000000003,122.82999999999998,127.96,110.55,129.70999999999998,113.19,128.92,111.56,115.73000000000002,99.57,127.14000000000004,125.82,124.12,97.92,115.46,123.14,116.06,101.84,,
